fund_type,quarter,borrowing_pct_gav,source
Section 3 Liquidity Fund,2022Q2,0.0,Tab.2.9
Liquidity Fund,2022Q2,0.0,Tab.2.9
Qualifying Hedge Fund,2022Q3,0.434,Tab.2.9
Hedge Fund,2022Q3,0.399,Tab.2.9
Securitized Asset Fund,2022Q3,0.494,Tab.2.9
Real Estate Fund,2022Q3,0.125,Tab.2.9
Other Private Fund,2022Q3,0.037,Tab.2.9
Section 4 Private Equity Fund,2022Q3,0.054,Tab.2.9
Private Equity Fund,2022Q3,0.055,Tab.2.9
Venture Capital Fund,2022Q3,0.007,Tab.2.9
Section 3 Liquidity Fund,2022Q3,0.0,Tab.2.9
Liquidity Fund,2022Q3,0.0,Tab.2.9
Qualifying Hedge Fund,2022Q4,0.442,Tab.2.9
Hedge Fund,2022Q4,0.406,Tab.2.9
Securitized Asset Fund,2022Q4,0.565,Tab.2.9
Real Estate Fund,2022Q4,0.14,Tab.2.9
Other Private Fund,2022Q4,0.056,Tab.2.9
Section 4 Private Equity Fund,2022Q4,0.057,Tab.2.9
Private Equity Fund,2022Q4,0.057,Tab.2.9
Venture Capital Fund,2022Q4,0.006,Tab.2.9
Section 3 Liquidity Fund,2022Q4,0.0,Tab.2.9
Liquidity Fund,2022Q4,0.0,Tab.2.9
Qualifying Hedge Fund,2023Q1,0.468,Tab.2.9
Hedge Fund,2023Q1,0.432,Tab.2.9
Securitized Asset Fund,2023Q1,0.536,Tab.2.9
Real Estate Fund,2023Q1,0.132,Tab.2.9
Other Private Fund,2023Q1,0.058,Tab.2.9
Section 4 Private Equity Fund,2023Q1,0.058,Tab.2.9
Private Equity Fund,2023Q1,0.056,Tab.2.9
Venture Capital Fund,2023Q1,0.006,Tab.2.9
Section 3 Liquidity Fund,2023Q1,0.0,Tab.2.9
Liquidity Fund,2023Q1,0.0,Tab.2.9
Qualifying Hedge Fund,2023Q2,0.479,Tab.2.9
Hedge Fund,2023Q2,0.44,Tab.2.9
Securitized Asset Fund,2023Q2,0.536,Tab.2.9
Real Estate Fund,2023Q2,0.132,Tab.2.9
Other Private Fund,2023Q2,0.059,Tab.2.9
Section 4 Private Equity Fund,2023Q2,0.058,Tab.2.9
Private Equity Fund,2023Q2,0.056,Tab.2.9
Venture Capital Fund,2023Q2,0.006,Tab.2.9
Section 3 Liquidity Fund,2023Q2,0.0,Tab.2.9
Liquidity Fund,2023Q2,0.0,Tab.2.9
Qualifying Hedge Fund,2023Q3,0.479,Tab.2.9
Hedge Fund,2023Q3,0.442,Tab.2.9
Securitized Asset Fund,2023Q3,0.533,Tab.2.9
Real Estate Fund,2023Q3,0.136,Tab.2.9
Other Private Fund,2023Q3,0.059,Tab.2.9
Section 4 Private Equity Fund,2023Q3,0.058,Tab.2.9
Private Equity Fund,2023Q3,0.055,Tab.2.9
Venture Capital Fund,2023Q3,0.006,Tab.2.9
Section 3 Liquidity Fund,2023Q3,0.0,Tab.2.9
Liquidity Fund,2023Q3,0.0,Tab.2.9
Qualifying Hedge Fund,2023Q4,0.504,Tab.2.9
Hedge Fund,2023Q4,0.462,Tab.2.9
Securitized Asset Fund,2023Q4,0.566,Tab.2.9
Real Estate Fund,2023Q4,0.148,Tab.2.9
Other Private Fund,2023Q4,0.052,Tab.2.9
Section 4 Private Equity Fund,2023Q4,0.05,Tab.2.9
Private Equity Fund,2023Q4,0.049,Tab.2.9
Venture Capital Fund,2023Q4,0.006,Tab.2.9
Section 3 Liquidity Fund,2023Q4,0.0,Tab.2.9
Liquidity Fund,2023Q4,0.0,Tab.2.9
Qualifying Hedge Fund,2024Q1,0.523,Tab.2.9
Hedge Fund,2024Q1,0.475,Tab.2.9
Securitized Asset Fund,2024Q1,0.534,Tab.2.9
Real Estate Fund,2024Q1,0.14,Tab.2.9
Other Private Fund,2024Q1,0.052,Tab.2.9
Section 4 Private Equity Fund,2024Q1,0.05,Tab.2.9
Private Equity Fund,2024Q1,0.048,Tab.2.9
Venture Capital Fund,2024Q1,0.006,Tab.2.9
Section 3 Liquidity Fund,2024Q1,0.0,Tab.2.9
Liquidity Fund,2024Q1,0.0,Tab.2.9
Qualifying Hedge Fund,2024Q2,0.532,Tab.2.9
Hedge Fund,2024Q2,0.483,Tab.2.9
Securitized Asset Fund,2024Q2,0.533,Tab.2.9
Real Estate Fund,2024Q2,0.14,Tab.2.9
Other Private Fund,2024Q2,0.052,Tab.2.9
Section 4 Private Equity Fund,2024Q2,0.05,Tab.2.9
Private Equity Fund,2024Q2,0.048,Tab.2.9
Venture Capital Fund,2024Q2,0.006,Tab.2.9
Section 3 Liquidity Fund,2024Q2,0.0,Tab.2.9
Liquidity Fund,2024Q2,0.0,Tab.2.9
Qualifying Hedge Fund,2024Q3,0.554,Tab.2.9
Hedge Fund,2024Q3,0.508,Tab.2.9
Securitized Asset Fund,2024Q3,0.529,Tab.2.9
Real Estate Fund,2024Q3,0.143,Tab.2.9
Other Private Fund,2024Q3,0.052,Tab.2.9
Section 4 Private Equity Fund,2024Q3,0.05,Tab.2.9
Private Equity Fund,2024Q3,0.048,Tab.2.9
Venture Capital Fund,2024Q3,0.006,Tab.2.9
Section 3 Liquidity Fund,2024Q3,0.0,Tab.2.9
Liquidity Fund,2024Q3,0.0,Tab.2.9
Qualifying Hedge Fund,2024Q4,0.542,Tab.2.9
Hedge Fund,2024Q4,0.499,Tab.2.9
Securitized Asset Fund,2024Q4,0.492,Tab.2.9
Real Estate Fund,2024Q4,0.154,Tab.2.9
Other Private Fund,2024Q4,0.057,Tab.2.9
Section 4 Private Equity Fund,2024Q4,0.05,Tab.2.9
Private Equity Fund,2024Q4,0.05,Tab.2.9
Venture Capital Fund,2024Q4,0.008,Tab.2.9
Section 3 Liquidity Fund,2024Q4,0.0,Tab.2.9
Liquidity Fund,2024Q4,0.0,Tab.2.9
Qualifying Hedge Fund,2025Q1,0.56,Tab.2.9
Hedge Fund,2025Q1,0.523,Tab.2.9
Securitized Asset Fund,2025Q1,0.435,Tab.2.9
Real Estate Fund,2025Q1,0.146,Tab.2.9
Other Private Fund,2025Q1,0.057,Tab.2.9
Section 4 Private Equity Fund,2025Q1,0.05,Tab.2.9
