exposure,ratio_bucket,month,fund_count,exposure_type
Excluding IRDs,"[5,10)",2016-02,219,GNE
Excluding IRDs,10 or more,2016-02,177,GNE
Including IRDs,"(0,1.5)",2016-03,817,GNE
Including IRDs,"[1.5,3)",2016-03,969,GNE
Including IRDs,"[3,5)",2016-03,477,GNE
Including IRDs,"[5,10)",2016-03,314,GNE
Including IRDs,10 or more,2016-03,287,GNE
Excluding IRDs,"(0,1.5)",2016-03,1144,GNE
Excluding IRDs,"[1.5,3)",2016-03,991,GNE
Excluding IRDs,"[3,5)",2016-03,309,GNE
Excluding IRDs,"[5,10)",2016-03,251,GNE
Excluding IRDs,10 or more,2016-03,170,GNE
Including IRDs,"(0,1.5)",2016-04,843,GNE
Including IRDs,"[1.5,3)",2016-04,926,GNE
Including IRDs,"[3,5)",2016-04,451,GNE
Including IRDs,"[5,10)",2016-04,349,GNE
Including IRDs,10 or more,2016-04,302,GNE
Excluding IRDs,"(0,1.5)",2016-04,1131,GNE
Excluding IRDs,"[1.5,3)",2016-04,988,GNE
Excluding IRDs,"[3,5)",2016-04,343,GNE
Excluding IRDs,"[5,10)",2016-04,224,GNE
Excluding IRDs,10 or more,2016-04,185,GNE
Including IRDs,"(0,1.5)",2016-05,854,GNE
Including IRDs,"[1.5,3)",2016-05,921,GNE
Including IRDs,"[3,5)",2016-05,436,GNE
Including IRDs,"[5,10)",2016-05,349,GNE
Including IRDs,10 or more,2016-05,312,GNE
Excluding IRDs,"(0,1.5)",2016-05,1157,GNE
Excluding IRDs,"[1.5,3)",2016-05,991,GNE
Excluding IRDs,"[3,5)",2016-05,327,GNE
Excluding IRDs,"[5,10)",2016-05,224,GNE
Excluding IRDs,10 or more,2016-05,172,GNE
Including IRDs,"(0,1.5)",2016-06,847,GNE
Including IRDs,"[1.5,3)",2016-06,945,GNE
Including IRDs,"[3,5)",2016-06,480,GNE
Including IRDs,"[5,10)",2016-06,322,GNE
Including IRDs,10 or more,2016-06,278,GNE
Excluding IRDs,"(0,1.5)",2016-06,1146,GNE
Excluding IRDs,"[1.5,3)",2016-06,973,GNE
Excluding IRDs,"[3,5)",2016-06,347,GNE
Excluding IRDs,"[5,10)",2016-06,238,GNE
Excluding IRDs,10 or more,2016-06,168,GNE
Including IRDs,"(0,1.5)",2016-07,927,GNE
Including IRDs,"[1.5,3)",2016-07,960,GNE
Including IRDs,"[3,5)",2016-07,369,GNE
Including IRDs,"[5,10)",2016-07,418,GNE
Including IRDs,10 or more,2016-07,269,GNE
Excluding IRDs,"(0,1.5)",2016-07,1257,GNE
Excluding IRDs,"[1.5,3)",2016-07,939,GNE
Excluding IRDs,"[3,5)",2016-07,348,GNE
Excluding IRDs,"[5,10)",2016-07,229,GNE
Excluding IRDs,10 or more,2016-07,171,GNE
Including IRDs,"(0,1.5)",2016-08,923,GNE
Including IRDs,"[1.5,3)",2016-08,910,GNE
Including IRDs,"[3,5)",2016-08,445,GNE
Including IRDs,"[5,10)",2016-08,373,GNE
Including IRDs,10 or more,2016-08,293,GNE
Excluding IRDs,"(0,1.5)",2016-08,1241,GNE
Excluding IRDs,"[1.5,3)",2016-08,947,GNE
Excluding IRDs,"[3,5)",2016-08,343,GNE
Excluding IRDs,"[5,10)",2016-08,242,GNE
Excluding IRDs,10 or more,2016-08,171,GNE
Including IRDs,"(0,1.5)",2016-09,915,GNE
Including IRDs,"[1.5,3)",2016-09,974,GNE
Including IRDs,"[3,5)",2016-09,393,GNE
Including IRDs,"[5,10)",2016-09,345,GNE
Including IRDs,10 or more,2016-09,316,GNE
Excluding IRDs,"(0,1.5)",2016-09,1193,GNE
Excluding IRDs,"[1.5,3)",2016-09,1005,GNE
Excluding IRDs,"[3,5)",2016-09,311,GNE
Excluding IRDs,"[5,10)",2016-09,260,GNE
Excluding IRDs,10 or more,2016-09,175,GNE
Including IRDs,"(0,1.5)",2016-10,960,GNE
Including IRDs,"[1.5,3)",2016-10,861,GNE
Including IRDs,"[3,5)",2016-10,424,GNE
Including IRDs,"[5,10)",2016-10,399,GNE
Including IRDs,10 or more,2016-10,294,GNE
Excluding IRDs,"(0,1.5)",2016-10,1175,GNE
Excluding IRDs,"[1.5,3)",2016-10,977,GNE
Excluding IRDs,"[3,5)",2016-10,356,GNE
Excluding IRDs,"[5,10)",2016-10,248,GNE
Excluding IRDs,10 or more,2016-10,182,GNE
Including IRDs,"(0,1.5)",2016-11,945,GNE
Including IRDs,"[1.5,3)",2016-11,868,GNE
Including IRDs,"[3,5)",2016-11,363,GNE
Including IRDs,"[5,10)",2016-11,455,GNE
Including IRDs,10 or more,2016-11,307,GNE
Excluding IRDs,"(0,1.5)",2016-11,1178,GNE
Excluding IRDs,"[1.5,3)",2016-11,976,GNE
Excluding IRDs,"[3,5)",2016-11,336,GNE
Excluding IRDs,"[5,10)",2016-11,234,GNE
Excluding IRDs,10 or more,2016-11,215,GNE
Including IRDs,"(0,1.5)",2016-12,920,GNE
Including IRDs,"[1.5,3)",2016-12,889,GNE
Including IRDs,"[3,5)",2016-12,443,GNE
Including IRDs,"[5,10)",2016-12,387,GNE
Including IRDs,10 or more,2016-12,300,GNE
Excluding IRDs,"(0,1.5)",2016-12,1132,GNE
Excluding IRDs,"[1.5,3)",2016-12,939,GNE
Excluding IRDs,"[3,5)",2016-12,418,GNE
Excluding IRDs,"[5,10)",2016-12,251,GNE
Excluding IRDs,10 or more,2016-12,199,GNE
Including IRDs,"(0,1.5)",2017-01,1014,GNE
Including IRDs,"[1.5,3)",2017-01,862,GNE
Including IRDs,"[3,5)",2017-01,431,GNE
Including IRDs,"[5,10)",2017-01,402,GNE
Including IRDs,10 or more,2017-01,306,GNE
Excluding IRDs,"(0,1.5)",2017-01,1240,GNE
Excluding IRDs,"[1.5,3)",2017-01,921,GNE
Excluding IRDs,"[3,5)",2017-01,400,GNE
Excluding IRDs,"[5,10)",2017-01,253,GNE
Excluding IRDs,10 or more,2017-01,201,GNE
Including IRDs,"(0,1.5)",2017-02,983,GNE
Including IRDs,"[1.5,3)",2017-02,868,GNE
Including IRDs,"[3,5)",2017-02,361,GNE
Including IRDs,"[5,10)",2017-02,471,GNE
Including IRDs,10 or more,2017-02,332,GNE
Excluding IRDs,"(0,1.5)",2017-02,1213,GNE
Excluding IRDs,"[1.5,3)",2017-02,890,GNE
Excluding IRDs,"[3,5)",2017-02,463,GNE
Excluding IRDs,"[5,10)",2017-02,243,GNE
Excluding IRDs,10 or more,2017-02,208,GNE
Including IRDs,"(0,1.5)",2017-03,976,GNE
Including IRDs,"[1.5,3)",2017-03,888,GNE
Including IRDs,"[3,5)",2017-03,427,GNE
Including IRDs,"[5,10)",2017-03,387,GNE
Including IRDs,10 or more,2017-03,338,GNE
Excluding IRDs,"(0,1.5)",2017-03,1195,GNE
Excluding IRDs,"[1.5,3)",2017-03,919,GNE
Excluding IRDs,"[3,5)",2017-03,451,GNE
Excluding IRDs,"[5,10)",2017-03,251,GNE
Excluding IRDs,10 or more,2017-03,199,GNE
Including IRDs,"(0,1.5)",2017-04,1012,GNE
Including IRDs,"[1.5,3)",2017-04,916,GNE
Including IRDs,"[3,5)",2017-04,433,GNE
Including IRDs,"[5,10)",2017-04,406,GNE
Including IRDs,10 or more,2017-04,346,GNE
Excluding IRDs,"(0,1.5)",2017-04,1297,GNE
Excluding IRDs,"[1.5,3)",2017-04,1008,GNE
Excluding IRDs,"[3,5)",2017-04,348,GNE
Excluding IRDs,"[5,10)",2017-04,248,GNE
Excluding IRDs,10 or more,2017-04,213,GNE
Including IRDs,"(0,1.5)",2017-05,996,GNE
