period,quarter,cumulative_pct,liquidity_type
At most 365 days,2019Q3,0.86,portfolio_liquidity
At most 1 day,2019Q4,0.348,portfolio_liquidity
At most 7 days,2019Q4,0.57,portfolio_liquidity
At most 30 days,2019Q4,0.701,portfolio_liquidity
At most 90 days,2019Q4,0.764,portfolio_liquidity
At most 180 days,2019Q4,0.803,portfolio_liquidity
At most 365 days,2019Q4,0.852,portfolio_liquidity
At most 1 day,2020Q1,0.395,portfolio_liquidity
At most 7 days,2020Q1,0.596,portfolio_liquidity
At most 30 days,2020Q1,0.706,portfolio_liquidity
At most 90 days,2020Q1,0.759,portfolio_liquidity
At most 180 days,2020Q1,0.795,portfolio_liquidity
At most 365 days,2020Q1,0.838,portfolio_liquidity
At most 1 day,2020Q2,0.378,portfolio_liquidity
At most 7 days,2020Q2,0.591,portfolio_liquidity
At most 30 days,2020Q2,0.704,portfolio_liquidity
At most 90 days,2020Q2,0.763,portfolio_liquidity
At most 180 days,2020Q2,0.805,portfolio_liquidity
At most 365 days,2020Q2,0.847,portfolio_liquidity
At most 1 day,2020Q3,0.354,portfolio_liquidity
At most 7 days,2020Q3,0.569,portfolio_liquidity
At most 30 days,2020Q3,0.697,portfolio_liquidity
At most 90 days,2020Q3,0.759,portfolio_liquidity
At most 180 days,2020Q3,0.801,portfolio_liquidity
At most 365 days,2020Q3,0.846,portfolio_liquidity
At most 1 day,2020Q4,0.326,portfolio_liquidity
At most 7 days,2020Q4,0.551,portfolio_liquidity
At most 30 days,2020Q4,0.685,portfolio_liquidity
At most 90 days,2020Q4,0.751,portfolio_liquidity
At most 180 days,2020Q4,0.794,portfolio_liquidity
At most 365 days,2020Q4,0.843,portfolio_liquidity
At most 1 day,2021Q1,0.334,portfolio_liquidity
At most 7 days,2021Q1,0.546,portfolio_liquidity
At most 30 days,2021Q1,0.676,portfolio_liquidity
At most 90 days,2021Q1,0.742,portfolio_liquidity
At most 180 days,2021Q1,0.783,portfolio_liquidity
At most 365 days,2021Q1,0.835,portfolio_liquidity
At most 1 day,2021Q2,0.338,portfolio_liquidity
At most 7 days,2021Q2,0.546,portfolio_liquidity
At most 30 days,2021Q2,0.675,portfolio_liquidity
At most 90 days,2021Q2,0.741,portfolio_liquidity
At most 180 days,2021Q2,0.782,portfolio_liquidity
At most 365 days,2021Q2,0.832,portfolio_liquidity
At most 1 day,2021Q3,0.332,portfolio_liquidity
At most 7 days,2021Q3,0.532,portfolio_liquidity
At most 30 days,2021Q3,0.661,portfolio_liquidity
At most 90 days,2021Q3,0.73,portfolio_liquidity
At most 180 days,2021Q3,0.773,portfolio_liquidity
At most 365 days,2021Q3,0.822,portfolio_liquidity
At most 1 day,2021Q4,0.336,portfolio_liquidity
At most 7 days,2021Q4,0.529,portfolio_liquidity
At most 30 days,2021Q4,0.657,portfolio_liquidity
At most 90 days,2021Q4,0.724,portfolio_liquidity
At most 180 days,2021Q4,0.77,portfolio_liquidity
At most 365 days,2021Q4,0.818,portfolio_liquidity
At most 1 day,2022Q1,0.353,portfolio_liquidity
At most 7 days,2022Q1,0.534,portfolio_liquidity
At most 30 days,2022Q1,0.648,portfolio_liquidity
At most 90 days,2022Q1,0.711,portfolio_liquidity
At most 180 days,2022Q1,0.755,portfolio_liquidity
At most 365 days,2022Q1,0.805,portfolio_liquidity
At most 1 day,2022Q2,0.335,portfolio_liquidity
At most 7 days,2022Q2,0.514,portfolio_liquidity
At most 30 days,2022Q2,0.623,portfolio_liquidity
At most 90 days,2022Q2,0.683,portfolio_liquidity
At most 180 days,2022Q2,0.735,portfolio_liquidity
At most 365 days,2022Q2,0.793,portfolio_liquidity
At most 1 day,2022Q3,0.335,portfolio_liquidity
At most 7 days,2022Q3,0.504,portfolio_liquidity
At most 30 days,2022Q3,0.612,portfolio_liquidity
At most 90 days,2022Q3,0.676,portfolio_liquidity
At most 180 days,2022Q3,0.728,portfolio_liquidity
At most 365 days,2022Q3,0.786,portfolio_liquidity
At most 1 day,2022Q4,0.321,portfolio_liquidity
At most 7 days,2022Q4,0.494,portfolio_liquidity
At most 30 days,2022Q4,0.602,portfolio_liquidity
At most 90 days,2022Q4,0.664,portfolio_liquidity
At most 180 days,2022Q4,0.718,portfolio_liquidity
At most 365 days,2022Q4,0.778,portfolio_liquidity
At most 1 day,2023Q1,0.314,portfolio_liquidity
