fund_universe,country,quarter,share,table
Section 4 Private Equity Funds,Canada,2017Q1,0.009,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2017Q1,0.019,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2017Q1,0.011,Tab.3.1
Section 4 Private Equity Funds,Other,2017Q1,0.029,Tab.3.1
All Private Funds,United States,2017Q2,0.515,Tab.3.1
All Private Funds,Cayman Islands,2017Q2,0.364,Tab.3.1
All Private Funds,Luxembourg,2017Q2,0.016,Tab.3.1
All Private Funds,Ireland,2017Q2,0.042,Tab.3.1
All Private Funds,Bermuda,2017Q2,0.013,Tab.3.1
All Private Funds,United Kingdom,2017Q2,0.011,Tab.3.1
