category,quarter,amount,table
Level 2,2017Q3,1673,Tab.2.16
Level 3,2017Q3,710,Tab.2.16
Cost-Based,2017Q3,1421,Tab.2.16
Level 1,2017Q4,2666,Tab.2.16
Level 2,2017Q4,1817,Tab.2.16
Level 3,2017Q4,750,Tab.2.16
Cost-Based,2017Q4,1602,Tab.2.16
Level 1,2018Q1,2701,Tab.2.16
Level 2,2018Q1,1805,Tab.2.16
Level 3,2018Q1,761,Tab.2.16
Cost-Based,2018Q1,1591,Tab.2.16
Level 1,2018Q2,2700,Tab.2.16
Level 2,2018Q2,1825,Tab.2.16
Level 3,2018Q2,770,Tab.2.16
Cost-Based,2018Q2,1608,Tab.2.16
Level 1,2018Q3,2701,Tab.2.16
Level 2,2018Q3,1829,Tab.2.16
Level 3,2018Q3,773,Tab.2.16
Cost-Based,2018Q3,1634,Tab.2.16
Level 1,2018Q4,2610,Tab.2.16
Level 2,2018Q4,1970,Tab.2.16
Level 3,2018Q4,860,Tab.2.16
Cost-Based,2018Q4,1763,Tab.2.16
Level 1,2019Q1,2635,Tab.2.16
Level 2,2019Q1,1992,Tab.2.16
Level 3,2019Q1,868,Tab.2.16
Cost-Based,2019Q1,1775,Tab.2.16
Level 1,2019Q2,2660,Tab.2.16
Level 2,2019Q2,2048,Tab.2.16
Level 3,2019Q2,868,Tab.2.16
Cost-Based,2019Q2,1782,Tab.2.16
Level 1,2019Q3,2643,Tab.2.16
Level 2,2019Q3,2044,Tab.2.16
Level 3,2019Q3,859,Tab.2.16
Cost-Based,2019Q3,1770,Tab.2.16
Level 1,2019Q4,2877,Tab.2.16
Level 2,2019Q4,2353,Tab.2.16
Level 3,2019Q4,1004,Tab.2.16
Cost-Based,2019Q4,1534,Tab.2.16
Level 1,2020Q1,2865,Tab.2.16
Level 2,2020Q1,2376,Tab.2.16
Level 3,2020Q1,1001,Tab.2.16
Cost-Based,2020Q1,1523,Tab.2.16
Level 1,2020Q2,2875,Tab.2.16
Level 2,2020Q2,2364,Tab.2.16
Level 3,2020Q2,1007,Tab.2.16
Cost-Based,2020Q2,1508,Tab.2.16
Level 1,2020Q3,2886,Tab.2.16
Level 2,2020Q3,2377,Tab.2.16
Level 3,2020Q3,1016,Tab.2.16
Cost-Based,2020Q3,1498,Tab.2.16
Level 1,2020Q4,3185,Tab.2.16
Level 2,2020Q4,2361,Tab.2.16
Level 3,2020Q4,1116,Tab.2.16
Cost-Based,2020Q4,1445,Tab.2.16
Level 1,2021Q1,3205,Tab.2.16
Level 2,2021Q1,2338,Tab.2.16
Level 3,2021Q1,1115,Tab.2.16
Cost-Based,2021Q1,1448,Tab.2.16
Level 1,2021Q2,3222,Tab.2.16
Level 2,2021Q2,2345,Tab.2.16
Level 3,2021Q2,1132,Tab.2.16
Cost-Based,2021Q2,1459,Tab.2.16
Level 1,2021Q3,3296,Tab.2.16
Level 2,2021Q3,2379,Tab.2.16
Level 3,2021Q3,1205,Tab.2.16
Cost-Based,2021Q3,1459,Tab.2.16
Level 1,2021Q4,3600,Tab.2.16
Level 2,2021Q4,2369,Tab.2.16
Level 3,2021Q4,1483,Tab.2.16
Cost-Based,2021Q4,1789,Tab.2.16
Level 1,2022Q1,3567,Tab.2.16
Level 2,2022Q1,2363,Tab.2.16
Level 3,2022Q1,1504,Tab.2.16
Cost-Based,2022Q1,1810,Tab.2.16
Level 1,2022Q2,3532,Tab.2.16
Level 2,2022Q2,2374,Tab.2.16
Level 3,2022Q2,1507,Tab.2.16
Cost-Based,2022Q2,1792,Tab.2.16
Level 1,2022Q3,3525,Tab.2.16
Level 2,2022Q3,2338,Tab.2.16
Level 3,2022Q3,1463,Tab.2.16
Cost-Based,2022Q3,1793,Tab.2.16
Level 1,2022Q4,3201,Tab.2.16
Level 2,2022Q4,2242,Tab.2.16
Level 3,2022Q4,1603,Tab.2.16
Cost-Based,2022Q4,1880,Tab.2.16
Level 1,2023Q1,3142,Tab.2.16
Level 2,2023Q1,2206,Tab.2.16
Level 3,2023Q1,1601,Tab.2.16
Cost-Based,2023Q1,1849,Tab.2.16
Level 1,2023Q2,3142,Tab.2.16
Level 2,2023Q2,2169,Tab.2.16
Level 3,2023Q2,1606,Tab.2.16
