top_n,quarter,nav_share,table,gav_share,borrowing_share,derivative_share
Top 50,2023Q4,0.19,Tab.6.3,0.39,0.68,0.687
Top 50,2024Q1,0.192,Tab.6.3,0.386,0.675,0.686
Top 50,2024Q2,0.193,Tab.6.3,0.386,0.669,0.696
Top 50,2024Q3,0.195,Tab.6.3,0.399,0.685,0.707
Top 50,2024Q4,0.192,Tab.6.3,0.392,0.671,0.698
Top 50,2025Q1,0.193,Tab.6.3,0.403,0.676,0.704
Top 500,2013Q1,0.624,Tab.6.3,0.696,0.919,0.969
Top 500,2013Q2,0.62,Tab.6.3,0.695,0.919,0.959
Top 500,2013Q3,0.616,Tab.6.3,0.689,0.915,0.949
Top 500,2013Q4,0.605,Tab.6.3,0.671,0.895,0.941
Top 500,2014Q1,0.601,Tab.6.3,0.673,0.894,0.937
Top 500,2014Q2,0.6,Tab.6.3,0.672,0.893,0.936
Top 500,2014Q3,0.595,Tab.6.3,0.676,0.892,0.934
Top 500,2014Q4,0.589,Tab.6.3,0.666,0.899,0.929
Top 500,2015Q1,0.594,Tab.6.3,0.677,0.901,0.933
Top 500,2015Q2,0.593,Tab.6.3,0.671,0.898,0.928
Top 500,2015Q3,0.584,Tab.6.3,0.672,0.901,0.932
Top 500,2015Q4,0.584,Tab.6.3,0.661,0.892,0.925
Top 500,2016Q1,0.579,Tab.6.3,0.665,0.895,0.929
Top 500,2016Q2,0.576,Tab.6.3,0.669,0.896,0.93
Top 500,2016Q3,0.577,Tab.6.3,0.671,0.902,0.932
Top 500,2016Q4,0.575,Tab.6.3,0.669,0.9,0.933
Top 500,2017Q1,0.57,Tab.6.3,0.668,0.9,0.933
Top 500,2017Q2,0.569,Tab.6.3,0.667,0.902,0.928
Top 500,2017Q3,0.568,Tab.6.3,0.675,0.905,0.933
Top 500,2017Q4,0.566,Tab.6.3,0.667,0.902,0.931
Top 500,2018Q1,0.564,Tab.6.3,0.669,0.904,0.938
Top 500,2018Q2,0.561,Tab.6.3,0.667,0.906,0.933
Top 500,2018Q3,0.56,Tab.6.3,0.672,0.906,0.933
Top 500,2018Q4,0.557,Tab.6.3,0.676,0.916,0.933
Top 500,2019Q1,0.562,Tab.6.3,0.682,0.919,0.94
Top 500,2019Q2,0.562,Tab.6.3,0.679,0.918,0.933
Top 500,2019Q3,0.56,Tab.6.3,0.676,0.917,0.939
Top 500,2019Q4,0.555,Tab.6.3,0.67,0.916,0.937
Top 500,2020Q1,0.555,Tab.6.3,0.675,0.91,0.943
Top 500,2020Q2,0.562,Tab.6.3,0.665,0.914,0.939
Top 500,2020Q3,0.568,Tab.6.3,0.673,0.918,0.95
Top 500,2020Q4,0.564,Tab.6.3,0.666,0.914,0.949
Top 500,2021Q1,0.562,Tab.6.3,0.659,0.908,0.95
Top 500,2021Q2,0.559,Tab.6.3,0.658,0.908,0.951
Top 500,2021Q3,0.563,Tab.6.3,0.669,0.909,0.956
Top 500,2021Q4,0.558,Tab.6.3,0.663,0.909,0.953
Top 500,2022Q1,0.555,Tab.6.3,0.661,0.908,0.954
Top 500,2022Q2,0.549,Tab.6.3,0.661,0.905,0.952
Top 500,2022Q3,0.55,Tab.6.3,0.66,0.906,0.952
Top 500,2022Q4,0.546,Tab.6.3,0.663,0.91,0.954
Top 500,2023Q1,0.549,Tab.6.3,0.667,0.915,0.955
Top 500,2023Q2,0.548,Tab.6.3,0.674,0.919,0.955
Top 500,2023Q3,0.548,Tab.6.3,0.684,0.923,0.955
Top 500,2023Q4,0.543,Tab.6.3,0.689,0.928,0.954
Top 500,2024Q1,0.546,Tab.6.3,0.688,0.931,0.956
Top 500,2024Q2,0.549,Tab.6.3,0.691,0.931,0.956
Top 500,2024Q3,0.55,Tab.6.3,0.703,0.937,0.959
Top 500,2024Q4,0.548,Tab.6.3,0.698,0.933,0.956
Top 500,2025Q1,0.548,Tab.6.3,0.708,0.937,0.961
