strategy,quarter,gav,nav,borrowing
Multi-Strategy,2016Q4,909.0,382.0,10.1
Multi-Strategy,2017Q1,796.0,360.0,7.9
Multi-Strategy,2017Q2,828.0,382.0,7.9
Multi-Strategy,2017Q3,850.0,373.0,9.0
Multi-Strategy,2017Q4,865.0,402.0,8.6
Multi-Strategy,2018Q1,887.0,405.0,9.7
Multi-Strategy,2018Q2,839.0,385.0,8.4
Multi-Strategy,2018Q3,751.0,328.0,8.4
Multi-Strategy,2018Q4,773.0,340.0,8.7
Multi-Strategy,2019Q1,748.0,321.0,9.1
Multi-Strategy,2019Q2,705.0,283.0,9.8
Multi-Strategy,2019Q3,521.0,276.0,10.1
Multi-Strategy,2019Q4,652.0,287.0,11.5
Multi-Strategy,2020Q1,653.0,290.0,10.3
Multi-Strategy,2020Q2,514.0,253.0,9.4
Multi-Strategy,2020Q3,766.0,305.0,10.3
Multi-Strategy,2020Q4,1001.0,332.0,12.4
Multi-Strategy,2021Q1,939.0,306.0,14.7
Multi-Strategy,2021Q2,993.0,310.0,16.1
Multi-Strategy,2021Q3,1070.0,324.0,16.2
Multi-Strategy,2021Q4,1131.0,333.0,16.0
Multi-Strategy,2022Q1,1108.0,354.0,14.9
Multi-Strategy,2022Q2,1183.0,391.0,13.2
Multi-Strategy,2022Q3,1276.0,435.0,11.0
Multi-Strategy,2022Q4,1363.0,392.0,14.0
Multi-Strategy,2023Q1,1490.0,412.0,14.1
Multi-Strategy,2023Q2,1563.0,399.0,14.8
Multi-Strategy,2023Q3,1704.0,424.0,15.6
Multi-Strategy,2023Q4,1213.0,309.0,14.1
Multi-Strategy,2024Q1,1728.0,402.0,16.5
Multi-Strategy,2024Q2,1595.0,309.0,22.8
Multi-Strategy,2024Q3,1604.0,363.0,17.4
Multi-Strategy,2024Q4,1796.0,397.0,18.1
Multi-Strategy,2025Q1,753.0,252.0,10.2
Other,2013Q1,582.0,375.0,3.3
Other,2013Q2,598.0,388.0,4.0
Other,2013Q3,638.0,426.0,3.8
Other,2013Q4,682.0,449.0,3.9
Other,2014Q1,703.0,457.0,4.0
Other,2014Q2,747.0,480.0,3.9
Other,2014Q3,778.0,500.0,3.9
Other,2014Q4,781.0,514.0,3.8
Other,2015Q1,850.0,555.0,3.6
Other,2015Q2,679.0,516.0,3.0
Other,2015Q3,778.0,496.0,3.8
Other,2015Q4,737.0,497.0,3.8
Other,2016Q1,785.0,504.0,4.1
Other,2016Q2,768.0,487.0,4.5
Other,2016Q3,804.0,509.0,4.6
Other,2016Q4,793.0,497.0,4.7
Other,2017Q1,791.0,500.0,5.0
Other,2017Q2,880.0,546.0,5.3
Other,2017Q3,928.0,569.0,5.4
Other,2017Q4,969.0,583.0,5.4
Other,2018Q1,913.0,580.0,5.0
Other,2018Q2,932.0,592.0,4.4
Other,2018Q3,1043.0,617.0,4.7
Other,2018Q4,960.0,574.0,4.5
Other,2019Q1,1049.0,634.0,4.4
Other,2019Q2,1216.0,691.0,4.7
Other,2019Q3,1107.0,676.0,4.3
Other,2019Q4,1161.0,688.0,4.3
Other,2020Q1,1084.0,636.0,4.6
Other,2020Q2,1104.0,679.0,4.1
Other,2020Q3,958.0,644.0,3.4
Other,2020Q4,912.0,620.0,3.2
Other,2021Q1,989.0,687.0,3.1
Other,2021Q2,1063.0,746.0,3.2
Other,2021Q3,1080.0,734.0,3.2
Other,2021Q4,1163.0,794.0,3.1
Other,2022Q1,1166.0,808.0,3.1
Other,2022Q2,1130.0,780.0,2.9
Other,2022Q3,1070.0,728.0,2.9
Other,2022Q4,1104.0,748.0,2.9
Other,2023Q1,1143.0,776.0,2.7
Other,2023Q2,1120.0,780.0,2.7
Other,2023Q3,1068.0,738.0,2.7
Other,2023Q4,1134.0,778.0,2.7
Other,2024Q1,1148.0,795.0,2.6
Other,2024Q2,1164.0,803.0,2.7
Other,2024Q3,1283.0,846.0,3.0
Other,2024Q4,1257.0,804.0,3.2
Other,2025Q1,1269.0,813.0,3.0
Relative Value,2013Q1,736.0,144.0,27.2
Relative Value,2013Q2,759.0,146.0,17.6
Relative Value,2013Q3,740.0,151.0,17.6
Relative Value,2013Q4,733.0,172.0,14.1
Relative Value,2014Q1,767.0,186.0,12.8
Relative Value,2014Q2,828.0,192.0,14.8
Relative Value,2014Q3,998.0,206.0,16.1
Relative Value,2014Q4,917.0,213.0,14.4
Relative Value,2015Q1,1111.0,231.0,15.6
Relative Value,2015Q2,859.0,204.0,13.4
Relative Value,2015Q3,844.0,186.0,15.3
Relative Value,2015Q4,950.0,220.0,15.0
Relative Value,2016Q1,948.0,210.0,16.1
Relative Value,2016Q2,1004.0,212.0,16.9
Relative Value,2016Q3,766.0,184.0,16.9
Relative Value,2016Q4,695.0,171.0,16.4
Relative Value,2017Q1,788.0,170.0,19.1
Relative Value,2017Q2,850.0,169.0,17.6
Relative Value,2017Q3,885.0,176.0,18.5
Relative Value,2017Q4,781.0,167.0,18.2
Relative Value,2018Q1,882.0,177.0,20.9
Relative Value,2018Q2,980.0,191.0,19.9
Relative Value,2018Q3,976.0,208.0,19.0
Relative Value,2018Q4,1160.0,214.0,21.4
Relative Value,2019Q1,1182.0,218.0,22.2
Relative Value,2019Q2,1287.0,216.0,24.0
Relative Value,2019Q3,1486.0,260.0,23.0
Relative Value,2019Q4,1454.0,259.0,24.2
Relative Value,2020Q1,1516.0,241.0,25.5
Relative Value,2020Q2,1437.0,285.0,22.6
Relative Value,2020Q3,1400.0,289.0,19.6
Relative Value,2020Q4,1043.0,183.0,23.6
Relative Value,2021Q1,1017.0,183.0,24.9
Relative Value,2021Q2,1125.0,197.0,23.3
Relative Value,2021Q3,1380.0,197.0,26.4
Relative Value,2021Q4,1379.0,198.0,27.1
Relative Value,2022Q1,1270.0,210.0,25.4
Relative Value,2022Q2,1315.0,201.0,24.8
Relative Value,2022Q3,1213.0,196.0,23.8
Relative Value,2022Q4,1082.0,182.0,21.3
Relative Value,2023Q1,1028.0,178.0,23.1
Relative Value,2023Q2,1192.0,192.0,25.5
Relative Value,2023Q3,1136.0,182.0,25.4
Relative Value,2023Q4,1836.0,267.0,27.4
Relative Value,2024Q1,1274.0,193.0,26.5
Relative Value,2024Q2,1381.0,190.0,30.6
Relative Value,2024Q3,1469.0,203.0,31.4
Relative Value,2024Q4,1441.0,199.0,29.3
Relative Value,2025Q1,2321.0,304.0,32.4
